Curso;Nota;Talleres profe;Talleres Monitor;Asesorías profe;Asesorías monitor
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo diferencial;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Cálculo integral;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0;0;0;0;0
Geometría Analítica;0.01;0;0;0;0
Geometría Analítica;0.03;0;0;0;0
Cálculo integral;0.04;0;0;0;0
Cálculo diferencial;0.05;0;0;0;0
Geometría Analítica;0.05;0;0;0;0
Cálculo diferencial;0.07;0;0;0;0
Geometría Analítica;0.07;0;0;0;0
Geometría Analítica;0.08;0;0;0;0
Cálculo integral;0.1;0;0;0;0
Cálculo diferencial;0.15;0;0;0;0
Cálculo diferencial;0.15;0;0;0;0
Cálculo diferencial;0.15;0;0;0;0
Geometría Analítica;0.15;0;0;0;0
Geometría Analítica;0.17;0;0;0;0
Geometría Analítica;0.17;0;0;0;0
Geometría Analítica;0.18;0;0;0;0
Geometría Analítica;0.19;0;0;0;0
Geometría Analítica;0.19;0;0;0;0
Cálculo diferencial;0.2;0;0;0;0
Cálculo diferencial;0.22;0;0;0;0
Geometría Analítica;0.23;0;0;0;0
Geometría Analítica;0.24;0;0;0;0
Cálculo diferencial;0.25;0;0;0;0
Cálculo diferencial;0.25;0;0;0;0
Cálculo diferencial;0.25;0;0;0;0
Cálculo diferencial;0.25;0;0;0;0
Cálculo integral;0.26;0;0;0;0
Cálculo diferencial;0.27;0;0;0;0
Geometría Analítica;0.27;0;0;0;0
Geometría Analítica;0.27;0;0;0;0
Cálculo diferencial;0.28;0;0;0;0
Geometría Analítica;0.28;0;0;0;0
Cálculo diferencial;0.29;0;0;0;0
Cálculo diferencial;0.3;0;0;0;0
Cálculo integral;0.3;0;0;0;0
Cálculo integral;0.3;0;0;0;0
Cálculo diferencial;0.32;0;0;0;0
Geometría Analítica;0.32;0;0;0;0
Cálculo integral;0.34;0;0;0;0
